Number of Military and DoD Appropriated Fund (APF) Civilian Personnel,,,,,,,,,,,,,,,,,,,,,,,
By Assigned Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,,
Note: This table only represents the unclassified data on personnel who are assigned for duty at these specific locations. ,,,,,,,,,,,,,,,,,,,,,,,
The table includes personnel who are assigned to the State Department and Embassies overseas.,,,,,,,,,,,,,,,,,,,,,,,
"The table does not include all personnel on temporary duty, or deployed in support of contingency operations.",,,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2023",,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,SPACE FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
,ALBANIA,1,1,8,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13
,ALGERIA,1,2,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,AMERICAN SAMOA,0,0,1,0,0,3,4,0,11,0,0,0,0,0,11,18,0,0,0,0,18,33
,ANGOLA,1,0,8,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,ARGENTINA,4,6,9,10,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,30
,ARMENIA,3,0,8,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,AUSTRALIA,42,82,"1,986",123,7,3,"2,243",0,0,0,0,0,0,0,0,3,17,0,3,8,31,"2,274"
,AUSTRIA,5,1,15,1,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23
,AZERBAIJAN,2,2,9,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,"BAHAMAS, THE",1,42,10,0,0,9,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
,BAHRAIN,18,"2,791",338,19,0,308,"3,474",0,0,21,0,0,0,2,23,16,315,1,1,148,481,"3,978"
,BANGLADESH,3,0,9,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BARBADOS,2,0,8,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BELARUS,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BELGIUM,584,89,34,396,2,0,"1,105",0,2,0,0,0,4,0,6,342,0,0,11,342,695,"1,806"
,BELIZE,1,0,7,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,BENIN,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,BOLIVIA,1,0,9,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BOSNIA AND HERZEGOVINA,7,0,9,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18
,BOTSWANA,4,0,8,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BRAZIL,10,10,27,11,1,2,61,0,0,0,0,1,0,0,1,5,2,0,2,0,9,71
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,220,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,2,0,3,223
,BRUNEI,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BULGARIA,3,5,8,4,0,0,20,0,0,0,0,0,0,0,0,23,0,0,2,0,25,45
,BURKINA FASO,2,0,13,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,BURMA,2,0,9,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BURUNDI,1,0,8,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CABO VERDE,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
,CAMBODIA,2,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,CAMEROON,3,2,9,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,CANADA,28,39,14,73,3,5,162,0,1,0,0,0,1,0,2,1,5,0,1,27,34,198
,CENTRAL AFRICAN REPUBLIC,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,CHAD,5,0,12,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,CHILE,7,4,12,8,1,1,33,0,0,0,0,1,0,0,1,2,2,0,1,0,5,39
,CHINA,8,7,40,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
,COLOMBIA,27,0,18,17,0,2,64,0,1,0,0,0,0,0,1,13,1,0,1,0,15,80
,CONGO (BRAZZAVILLE),0,0,8,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,CONGO (KINSHASA),1,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,COSTA RICA,0,1,7,1,0,5,14,0,0,0,0,0,0,0,0,3,0,0,0,0,3,17
,COTE DIVOIRE,5,1,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,CROATIA,4,1,8,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,CUBA,106,423,31,0,0,6,566,0,0,0,0,0,0,0,0,18,116,0,0,117,251,817
,CYPRUS,2,0,7,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11
,CZECHIA,4,1,7,3,0,1,16,0,0,0,0,0,0,0,0,0,2,0,0,0,2,18
,DENMARK,2,4,7,4,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,DJIBOUTI,3,2,403,1,0,0,409,0,0,0,0,0,0,0,0,0,1,0,0,0,1,410
,DOMINICAN REPUBLIC,5,1,8,1,0,2,17,0,0,0,0,0,0,0,0,4,0,0,0,0,4,21
,ECUADOR,4,2,16,3,0,1,26,0,0,0,0,0,0,0,0,2,0,0,0,0,2,28
,EGYPT,127,8,98,20,0,0,253,0,0,0,0,0,0,0,0,1,0,0,5,0,6,259
,EL SALVADOR,4,30,14,1,0,0,49,0,0,4,0,0,0,0,4,2,1,0,0,0,3,56
,ESTONIA,8,2,8,3,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
,ETHIOPIA,1,2,8,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,FIJI,1,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,FINLAND,2,2,11,3,0,0,18,0,0,0,0,0,0,0,0,2,0,1,0,0,3,21
,FRANCE,26,14,17,20,1,0,78,0,0,0,0,0,0,0,0,3,2,0,6,0,11,89
,GABON,2,2,7,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,"GAMBIA, THE",0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,GEORGIA,19,0,10,1,0,0,30,0,0,0,0,0,0,0,0,6,0,0,2,0,8,38
,GERMANY,"21,247",405,461,"12,919",146,10,"35,188",0,"1,027",12,89,12,307,0,"1,447","5,241",42,32,"1,275","5,046","11,636","48,271"
,GHANA,4,6,10,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,1,0,2,23
,GIBRALTAR,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,GREECE,7,326,9,26,0,0,368,0,0,0,0,0,0,0,0,6,71,0,0,3,80,448
,GREENLAND,0,0,0,115,28,0,143,0,0,0,0,0,1,0,1,0,0,0,1,0,1,145
,GUAM,1,"3,768",136,"2,162",4,292,"6,363",9,6,173,0,416,239,33,876,146,"1,428",7,452,733,"2,766","10,005"
,GUATEMALA,8,1,7,1,0,0,17,0,0,1,0,0,0,0,1,3,1,0,0,0,4,22
,GUINEA,3,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,GUYANA,1,0,7,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,HAITI,3,0,9,0,0,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,HONDURAS,252,2,9,127,0,1,391,0,0,0,0,0,0,0,0,22,1,0,0,0,23,414
,HONG KONG,2,3,8,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,HUNGARY,5,5,10,61,0,0,81,0,0,0,0,0,0,0,0,3,0,0,1,0,4,85
,ICELAND,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
,INDIA,7,8,38,5,0,0,58,0,0,0,0,0,0,0,0,0,1,0,1,0,2,60
,INDONESIA,11,5,20,2,0,0,38,0,0,0,0,1,0,0,1,0,1,0,1,0,2,41
,IRAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,IRELAND,2,0,7,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,ISRAEL,62,10,28,12,0,0,112,0,0,0,0,0,0,0,0,10,1,0,5,5,21,133
,ITALY,"4,123","3,320",179,"4,760",23,0,"12,405",0,71,15,0,1,26,0,113,622,886,0,183,958,"2,649","15,167"
,JAMAICA,2,1,7,0,0,2,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14
,JAPAN,"2,360","19,576","18,664","12,555",70,21,"53,246",0,128,81,71,1,88,1,370,687,"1,446",618,883,"3,243","6,877","60,493"
,JORDAN,63,4,30,13,0,0,110,0,0,0,0,0,0,0,0,11,2,0,3,0,16,126
,KAZAKHSTAN,6,2,17,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,KENYA,12,5,26,6,0,0,49,0,0,0,0,0,0,0,0,2,0,0,1,0,3,52
,"KOREA, SOUTH","15,224",358,658,"7,859",59,1,"24,159",0,215,4,13,0,46,0,278,"1,489",40,13,264,"1,255","3,061","27,498"
,KOSOVO,1,0,10,3,0,0,14,0,2,0,0,0,0,0,2,1,0,0,0,0,1,17
,KUWAIT,468,1,90,36,0,0,595,0,0,1,0,0,0,0,1,185,0,0,11,18,214,810
,KYRGYZSTAN,1,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,LAOS,4,0,8,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15
,LATVIA,6,1,8,2,0,0,17,0,1,0,0,0,0,0,1,1,0,0,0,0,1,19
,LEBANON,5,0,15,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,LIBERIA,2,0,9,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,LITHUANIA,6,2,8,1,0,0,17,0,0,0,0,0,0,0,0,1,1,0,1,1,4,21
,LUXEMBOURG,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,6,14
,MACEDONIA,0,0,8,1,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10
,MADAGASCAR,0,2,8,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALAWI,1,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,MALAYSIA,3,4,9,2,0,1,19,0,0,0,0,1,0,0,1,0,1,0,0,0,1,21
,MALI,2,0,12,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,MALTA,0,3,9,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MARSHALL ISLANDS,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,74,0,0,0,0,74,91
,MAURITANIA,1,0,9,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MAURITIUS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MEXICO,10,6,61,5,0,2,84,0,0,0,0,0,0,0,0,1,1,0,7,0,9,93
,"MICRONESIA, FEDERATED STATES OF",0,2,20,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,MOLDOVA,3,0,6,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,MONGOLIA,3,0,8,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MONTENEGRO,2,1,9,0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13
,MONTENEGRO (2006 - 2008),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
,MOROCCO,6,4,16,8,0,0,34,0,0,0,0,0,0,0,0,4,1,0,1,2,8,42
,MOZAMBIQUE,2,1,7,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,NAMIBIA,1,0,8,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NEPAL,4,0,7,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12
,NETHERLANDS,125,29,14,224,2,31,425,0,0,0,0,1,0,0,1,73,1,0,4,128,206,632
,NETHERLANDS ANTILLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
,NEW ZEALAND,2,2,9,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17
,NICARAGUA,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NIGER,2,0,12,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,NIGERIA,5,3,35,3,0,0,46,0,0,0,0,0,0,0,0,2,0,0,0,0,2,48
,NORTHERN MARIANA ISLANDS,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,7,13
,NORWAY,23,13,31,37,0,1,105,0,0,0,0,0,1,0,1,1,2,0,3,0,6,112
,OMAN,5,6,12,5,0,0,28,0,0,0,0,0,0,0,0,0,1,0,1,1,3,31
,PAKISTAN,6,2,50,8,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
,PALAU,0,1,88,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
,PANAMA,14,4,11,0,0,1,30,0,0,0,0,0,0,0,0,3,1,0,1,1,6,36
,PAPUA NEW GUINEA,1,0,17,1,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20
,PARAGUAY,5,1,8,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,PERU,10,19,15,3,0,0,47,0,0,0,0,1,0,0,1,5,3,0,0,0,8,56
,PHILIPPINES,10,13,224,7,0,3,257,0,0,0,0,1,0,0,1,1,8,0,3,1,13,271
,POLAND,88,87,12,29,0,0,216,0,0,0,0,0,0,0,0,41,9,0,4,0,54,270
,PORTUGAL,5,47,16,176,0,0,244,0,0,0,0,0,0,0,0,2,2,0,3,0,7,251
,PUERTO RICO,0,39,23,23,0,559,644,34,"3,408",285,0,1162,0,49,"4,938","1,283",31,0,242,673,"2,229","7,811"
,QATAR,111,5,40,167,12,0,335,0,0,0,0,0,0,0,0,18,0,0,7,1,26,361
,ROMANIA,21,91,9,12,0,0,133,0,1,0,0,0,0,0,1,37,8,0,2,2,49,183
,RUSSIA,4,2,30,1,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
,RWANDA,5,0,8,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SAMOA,2,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5
,SAUDI ARABIA,171,15,30,61,0,10,287,0,0,0,0,0,0,0,0,71,2,0,9,14,96,383
,SENEGAL,4,5,9,1,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20
,SERBIA,5,0,6,1,0,0,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13
,SEYCHELLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,SIERRA LEONE,0,0,7,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SINGAPORE,11,166,29,25,0,8,239,0,0,0,0,0,0,0,0,1,146,0,2,21,170,409
,SLOVAKIA,4,1,8,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17
,SLOVENIA,1,0,9,3,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,SOMALIA,2,2,14,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,SOUTH AFRICA,3,4,38,3,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49
,SOUTH SUDAN,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SPAIN,30,"2,691",101,389,0,1,"3,212",0,0,12,0,0,2,0,14,4,252,0,11,175,442,"3,668"
,SRI LANKA,3,3,8,0,0,0,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,16
